SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
83744.0,9.0,2.0,1.0,56.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,3.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,56.0,1.0,3.0,3.0,,20395.53531,20068.662891,2.0,126.0,3.0,3.0,1.19
83745.0,9.0,2.0,2.0,15.0,,3.0,3.0,2.0,185.0,,,1.0,1.0,,9.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,2.0,0.0,2.0,42.0,1.0,4.0,5.0,,24788.723062,25399.385035,2.0,126.0,4.0,4.0,0.86
83746.0,9.0,2.0,2.0,4.0,,5.0,6.0,1.0,52.0,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,4.0,4.0,1.0,1.0,0.0,1.0,45.0,,,1.0,4.0,10998.012047,11273.997898,2.0,129.0,12.0,12.0,
83747.0,9.0,2.0,1.0,46.0,,3.0,3.0,1.0,,2.0,,2.0,1.0,8.0,,5.0,6.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,46.0,2.0,5.0,6.0,,34513.077877,35673.964272,1.0,121.0,3.0,3.0,0.75
83748.0,9.0,2.0,1.0,3.0,,4.0,4.0,2.0,41.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,6.0,6.0,3.0,0.0,0.0,2.0,54.0,1.0,4.0,5.0,,10988.317325,11184.295239,2.0,131.0,6.0,6.0,0.94
83749.0,9.0,2.0,2.0,17.0,,3.0,3.0,1.0,210.0,2.0,,1.0,1.0,,10.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,0.0,1.0,0.0,1.0,46.0,1.0,4.0,1.0,4.0,60125.440997,63059.812938,2.0,131.0,14.0,14.0,3.16
83750.0,9.0,2.0,1.0,45.0,,5.0,7.0,1.0,,2.0,,1.0,1.0,,,2.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,38.0,,,1.0,5.0,96194.928435,97001.987877,1.0,125.0,10.0,4.0,1.36
83751.0,9.0,2.0,2.0,16.0,,1.0,1.0,1.0,196.0,,,1.0,1.0,,9.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,6.0,1.0,2.0,2.0,2.0,64.0,1.0,2.0,1.0,2.0,14862.011194,14802.213772,1.0,128.0,4.0,4.0,0.58
83752.0,9.0,2.0,2.0,30.0,,2.0,2.0,1.0,,2.0,,1.0,1.0,,,4.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,31.0,1.0,5.0,6.0,,36978.419865,38680.531261,1.0,124.0,15.0,15.0,5.0
83753.0,9.0,2.0,1.0,15.0,,4.0,4.0,1.0,182.0,,,1.0,1.0,,8.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,50.0,1.0,3.0,1.0,2.0,11836.753445,14181.702736,1.0,119.0,8.0,8.0,2.49
83754.0,9.0,2.0,2.0,67.0,,2.0,2.0,1.0,,2.0,,1.0,1.0,,,5.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,0.0,3.0,2.0,1.0,73.0,1.0,5.0,1.0,5.0,10495.865944,10191.914345,1.0,128.0,6.0,6.0,0.89
83755.0,9.0,2.0,1.0,67.0,,4.0,4.0,2.0,,1.0,1.0,1.0,1.0,,,5.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,67.0,1.0,5.0,2.0,,14080.095558,13991.639152,1.0,126.0,5.0,5.0,2.04
83756.0,9.0,2.0,1.0,16.0,,3.0,3.0,2.0,194.0,,,1.0,1.0,,9.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,6.0,0.0,3.0,0.0,1.0,40.0,1.0,4.0,1.0,4.0,45738.157443,46918.697172,1.0,122.0,7.0,7.0,1.11
83757.0,9.0,2.0,2.0,57.0,,2.0,2.0,1.0,,2.0,,1.0,1.0,,,1.0,4.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,0.0,0.0,2.0,57.0,1.0,1.0,4.0,,11709.112101,12413.062527,1.0,120.0,5.0,5.0,0.77
83758.0,9.0,1.0,1.0,80.0,,3.0,3.0,,,1.0,1.0,1.0,1.0,,,5.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,,,,,1.0,1.0,0.0,0.0,1.0,1.0,80.0,1.0,5.0,2.0,,30375.765839,0.0,2.0,133.0,9.0,9.0,4.71
83759.0,9.0,2.0,2.0,19.0,,1.0,1.0,1.0,235.0,2.0,,1.0,1.0,,15.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,43.0,1.0,4.0,3.0,,18928.631028,19250.414038,2.0,121.0,7.0,7.0,1.74
83760.0,9.0,2.0,2.0,3.0,,4.0,4.0,2.0,38.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,6.0,6.0,2.0,2.0,0.0,2.0,31.0,1.0,3.0,77.0,,8862.399321,8919.396129,2.0,126.0,7.0,7.0,1.1
83761.0,9.0,2.0,2.0,24.0,,5.0,6.0,2.0,,2.0,,2.0,2.0,2.0,,5.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,24.0,2.0,5.0,5.0,,15420.801307,18010.012692,1.0,119.0,1.0,1.0,0.0
83762.0,9.0,2.0,2.0,27.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,4.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,3.0,5.0,,38387.34103,43424.328288,1.0,132.0,8.0,6.0,2.12
83763.0,9.0,2.0,2.0,2.0,,2.0,2.0,1.0,29.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,5.0,5.0,1.0,2.0,0.0,2.0,32.0,1.0,4.0,1.0,4.0,17174.314126,18158.809883,1.0,127.0,9.0,9.0,1.94
83764.0,9.0,2.0,1.0,14.0,,3.0,3.0,2.0,169.0,,,1.0,1.0,,8.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,0.0,2.0,0.0,2.0,46.0,1.0,5.0,1.0,5.0,69163.003117,70889.80172,2.0,120.0,15.0,15.0,5.0
83765.0,9.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,3.0,3.0,1.0,0.0,0.0,1.0,28.0,1.0,4.0,1.0,5.0,13932.170173,14073.383109,2.0,123.0,9.0,9.0,3.17
83766.0,9.0,2.0,2.0,10.0,,3.0,3.0,2.0,132.0,,,1.0,1.0,,4.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,0.0,4.0,0.0,1.0,39.0,1.0,5.0,3.0,,48048.790838,47166.956028,1.0,126.0,14.0,14.0,3.34
83767.0,9.0,2.0,2.0,54.0,,5.0,6.0,1.0,,2.0,,2.0,1.0,7.0,,4.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,6.0,0.0,2.0,0.0,2.0,54.0,2.0,4.0,3.0,,21914.036865,23219.518074,2.0,122.0,14.0,14.0,2.99
83768.0,9.0,2.0,2.0,15.0,,3.0,3.0,2.0,193.0,,,1.0,1.0,,10.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,0.0,2.0,0.0,2.0,46.0,1.0,4.0,1.0,5.0,22414.372179,23022.326092,2.0,120.0,6.0,6.0,1.09
83769.0,9.0,2.0,1.0,49.0,,5.0,6.0,2.0,,2.0,,2.0,1.0,6.0,,2.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0,49.0,2.0,2.0,1.0,5.0,26837.741442,28350.831746,1.0,132.0,10.0,10.0,2.97
83770.0,9.0,2.0,1.0,15.0,,4.0,4.0,1.0,183.0,,,1.0,1.0,,8.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,0.0,3.0,0.0,1.0,52.0,1.0,4.0,3.0,,13912.889251,15588.713904,2.0,132.0,4.0,4.0,0.66
83771.0,9.0,1.0,2.0,2.0,,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,2.0,,,,,,,,3.0,3.0,1.0,0.0,0.0,1.0,38.0,,,1.0,,10598.714904,0.0,1.0,121.0,,,
83772.0,9.0,2.0,2.0,2.0,,5.0,7.0,1.0,33.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,3.0,2.0,1.0,0.0,0.0,1.0,22.0,,,5.0,,7757.921874,8064.033105,2.0,125.0,5.0,5.0,1.25
83773.0,9.0,2.0,2.0,80.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,3.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,0.0,0.0,1.0,2.0,80.0,1.0,3.0,2.0,,37582.053359,39939.418885,1.0,131.0,7.0,7.0,3.57
83774.0,9.0,2.0,2.0,13.0,,3.0,3.0,1.0,168.0,,,1.0,1.0,,7.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,6.0,0.0,4.0,0.0,1.0,41.0,1.0,4.0,1.0,4.0,72000.749141,73774.463719,1.0,133.0,15.0,15.0,4.3
83775.0,9.0,2.0,2.0,69.0,,2.0,2.0,2.0,,2.0,,2.0,1.0,8.0,,1.0,4.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,69.0,2.0,1.0,4.0,,7250.103342,8799.980525,2.0,119.0,2.0,2.0,0.55
83776.0,9.0,2.0,2.0,58.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,,,5.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,3.0,0.0,1.0,1.0,1.0,68.0,1.0,5.0,1.0,5.0,21433.175988,21493.64217,2.0,128.0,14.0,14.0,3.72
83777.0,9.0,2.0,1.0,56.0,,5.0,6.0,1.0,,2.0,,2.0,1.0,3.0,,2.0,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,5.0,5.0,0.0,0.0,0.0,1.0,56.0,2.0,2.0,1.0,2.0,13892.041938,14484.987902,2.0,133.0,7.0,7.0,1.35
83778.0,9.0,2.0,1.0,16.0,,2.0,2.0,1.0,199.0,,,1.0,1.0,,10.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,0.0,2.0,0.0,1.0,41.0,1.0,3.0,1.0,3.0,18894.649065,18651.126141,1.0,127.0,5.0,5.0,0.99
83779.0,9.0,2.0,2.0,1.0,21.0,5.0,6.0,1.0,22.0,,,2.0,1.0,2.0,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,3.0,3.0,1.0,0.0,0.0,1.0,48.0,2.0,3.0,1.0,4.0,11562.467855,11852.618249,1.0,128.0,99.0,99.0,
83780.0,9.0,2.0,1.0,4.0,,1.0,1.0,1.0,51.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,5.0,5.0,1.0,1.0,1.0,1.0,34.0,2.0,5.0,1.0,5.0,18292.899274,18941.868594,1.0,128.0,14.0,14.0,2.82
83781.0,9.0,2.0,2.0,27.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,5.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,60.0,1.0,5.0,2.0,,34068.859547,38537.18944,2.0,119.0,77.0,77.0,
83782.0,9.0,1.0,2.0,0.0,4.0,3.0,3.0,,,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,7.0,7.0,1.0,2.0,0.0,2.0,39.0,1.0,3.0,6.0,,8734.840837,0.0,1.0,125.0,7.0,7.0,0.98
83783.0,9.0,2.0,1.0,17.0,,3.0,3.0,2.0,215.0,2.0,,1.0,1.0,,11.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,0.0,2.0,0.0,1.0,48.0,1.0,4.0,1.0,4.0,78077.781768,89837.269154,2.0,129.0,15.0,15.0,4.28
83784.0,9.0,2.0,1.0,22.0,,2.0,2.0,1.0,,2.0,,1.0,1.0,,,4.0,5.0,,1.0,2.0,2.0,,,,1.0,2.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,45.0,,,1.0,,38148.533472,42493.486456,2.0,121.0,,,
83785.0,9.0,2.0,2.0,60.0,,2.0,2.0,1.0,,2.0,,1.0,1.0,,,5.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,0.0,0.0,2.0,1.0,60.0,,,1.0,5.0,10495.865944,10191.914345,1.0,128.0,15.0,15.0,5.0
83786.0,9.0,2.0,1.0,51.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,4.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,1.0,0.0,0.0,1.0,1.0,64.0,1.0,5.0,5.0,,25558.45369,28391.195299,2.0,129.0,77.0,77.0,
83787.0,9.0,2.0,2.0,68.0,,1.0,1.0,1.0,,2.0,,2.0,1.0,7.0,,1.0,3.0,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,68.0,2.0,1.0,3.0,,8842.349896,10732.606587,1.0,128.0,4.0,4.0,1.49
83788.0,9.0,2.0,2.0,69.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,4.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,1.0,2.0,1.0,70.0,1.0,5.0,1.0,4.0,50114.531635,49234.971244,2.0,120.0,7.0,7.0,1.79
83789.0,9.0,2.0,1.0,66.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,5.0,6.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,66.0,1.0,5.0,6.0,,181684.438654,181461.242024,1.0,132.0,10.0,9.0,5.0
83790.0,9.0,2.0,1.0,56.0,,3.0,3.0,1.0,,2.0,,1.0,1.0,,,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,62.0,1.0,3.0,1.0,1.0,31179.690344,32402.172747,2.0,126.0,4.0,4.0,1.0
83791.0,9.0,2.0,2.0,80.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,2.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,1.0,80.0,1.0,2.0,1.0,2.0,59524.529308,62213.984015,2.0,123.0,12.0,12.0,
83792.0,9.0,2.0,2.0,3.0,,1.0,1.0,2.0,46.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,3.0,2.0,1.0,0.0,0.0,1.0,35.0,1.0,3.0,5.0,,11930.316994,13485.705041,1.0,120.0,14.0,7.0,2.51
83793.0,9.0,2.0,2.0,11.0,,3.0,3.0,1.0,141.0,,,1.0,1.0,,5.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,6.0,1.0,4.0,0.0,2.0,38.0,1.0,4.0,4.0,,18662.216375,18319.710523,2.0,128.0,7.0,7.0,1.23
83794.0,9.0,2.0,2.0,10.0,,4.0,4.0,2.0,128.0,,,1.0,1.0,,5.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,4.0,4.0,1.0,1.0,0.0,1.0,44.0,1.0,5.0,1.0,5.0,20199.623975,22282.470611,1.0,132.0,15.0,15.0,4.23
83795.0,9.0,2.0,1.0,5.0,,3.0,3.0,2.0,67.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,4.0,4.0,1.0,1.0,0.0,2.0,32.0,1.0,4.0,1.0,4.0,26972.360015,28083.547434,1.0,126.0,9.0,9.0,2.3
83796.0,9.0,2.0,2.0,4.0,,3.0,3.0,2.0,55.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,4.0,4.0,1.0,1.0,0.0,2.0,35.0,1.0,3.0,1.0,3.0,32232.37358,34556.852945,1.0,130.0,6.0,6.0,1.32
83797.0,9.0,2.0,2.0,1.0,18.0,2.0,2.0,2.0,18.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,5.0,5.0,2.0,0.0,0.0,1.0,27.0,1.0,4.0,1.0,5.0,10315.958657,10850.57886,2.0,120.0,15.0,15.0,4.22
83798.0,9.0,2.0,2.0,0.0,7.0,5.0,7.0,2.0,7.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,4.0,4.0,2.0,0.0,0.0,1.0,30.0,1.0,5.0,1.0,5.0,18167.519526,18351.660886,2.0,130.0,15.0,15.0,5.0
83799.0,9.0,2.0,2.0,37.0,,2.0,2.0,1.0,,2.0,,1.0,1.0,,,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,3.0,0.0,1.0,0.0,2.0,37.0,1.0,4.0,1.0,2.0,34128.785029,35348.435447,1.0,122.0,14.0,14.0,4.18
83800.0,9.0,2.0,1.0,10.0,,4.0,4.0,1.0,125.0,,,1.0,1.0,,4.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,0.0,2.0,31.0,1.0,5.0,1.0,4.0,10879.909707,11228.832089,2.0,129.0,9.0,9.0,2.57
83801.0,9.0,2.0,2.0,80.0,,3.0,3.0,1.0,,2.0,,1.0,1.0,,,5.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,1.0,80.0,1.0,4.0,1.0,5.0,59053.937375,61722.129659,2.0,132.0,77.0,77.0,
83802.0,9.0,2.0,2.0,29.0,,1.0,1.0,2.0,,2.0,,1.0,1.0,,,3.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,6.0,6.0,3.0,0.0,0.0,2.0,29.0,1.0,3.0,1.0,,21059.645511,26347.770743,2.0,120.0,,,
83803.0,9.0,2.0,1.0,27.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,4.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,27.0,1.0,4.0,3.0,,21218.100824,21170.1696,2.0,126.0,6.0,6.0,2.36
83804.0,9.0,2.0,1.0,1.0,14.0,1.0,1.0,1.0,14.0,,,1.0,1.0,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,,,,,6.0,6.0,1.0,2.0,0.0,2.0,35.0,2.0,2.0,1.0,3.0,9489.853377,11178.735123,1.0,120.0,4.0,4.0,0.57
83805.0,9.0,2.0,2.0,7.0,,4.0,4.0,2.0,95.0,,,1.0,1.0,,2.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,3.0,3.0,1.0,1.0,0.0,2.0,26.0,1.0,4.0,6.0,,6362.898245,6350.397864,1.0,119.0,7.0,7.0,1.89
83806.0,9.0,2.0,2.0,2.0,,3.0,3.0,1.0,30.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,4.0,1.0,1.0,1.0,0.0,2.0,26.0,1.0,1.0,5.0,,16856.3521,17055.823213,2.0,125.0,4.0,1.0,0.0
83807.0,9.0,2.0,2.0,10.0,,1.0,1.0,1.0,127.0,,,1.0,1.0,,4.0,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,1.0,4.0,1.0,2.0,53.0,2.0,2.0,6.0,,8393.295458,9745.235573,2.0,133.0,12.0,12.0,
83808.0,9.0,2.0,1.0,4.0,,5.0,6.0,1.0,59.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,7.0,7.0,1.0,1.0,1.0,2.0,26.0,2.0,4.0,6.0,,8413.533739,8502.744352,1.0,129.0,10.0,10.0,1.91
83809.0,9.0,2.0,2.0,20.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,3.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,33.0,1.0,5.0,6.0,,37564.933469,40405.577191,1.0,129.0,14.0,14.0,3.3
83810.0,9.0,2.0,2.0,6.0,,4.0,4.0,1.0,76.0,,,1.0,1.0,,0.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,6.0,6.0,1.0,3.0,0.0,2.0,32.0,1.0,4.0,6.0,,7659.782235,7644.73403,2.0,133.0,7.0,7.0,1.1
